Gender,Age,toxicity
other,22,0.0039555197581648
female,22,0.0132454251870512
male,40,0.0005125272436998
female,38,0.000546749215573
other,12,0.0005902590346522
other,19,0.0006054008263163
other,22,0.0033705057576298
male,69,0.000517857784871
male,57,0.0005089223850518
other,18,0.0005934513173997
female,20,0.0004371656104922
other,19,0.0003906636266037
other,22,0.0004361129540484
female,16,0.0004619317769538
other,27,0.0006660615326836
female,21,0.0004737032868433
other,19,0.0004472791915759
male,21,0.0004092946765013
other,30,0.0192591603845357
other,21,0.001077534398064
male,36,0.0005359025672078
other,30,0.0091312741860747
male,24,0.0217855498194694
other,12,0.0013226362643763
other,23,0.0010300747817382
other,26,0.0004508688289206
other,43,0.0005967068718746
male,40,0.0018589940154924
female,38,0.0020055547356605
other,22,0.0032171157654374
other,20,0.000532251142431
other,31,0.0007586179999634
other,18,0.000414485373767
other,20,0.0009500485612079
other,23,0.001282236422412
male,30,0.0009402493014931
female,22,0.0051344302482903
other,124,0.0004696126561611
other,18,0.0005430114106275
female,22,0.0171094294637441
male,36,0.0005099885165691
other,63,0.0004275277024134
other,13,0.0012162964558228
male,36,0.0003949771926272
other,28,0.0031277895905077
other,12,0.0005360699142329
other,12,0.0008877799264155
other,21,0.0007374662091024
other,26,0.0019606880377978
female,39,0.000586653011851
male,25,0.0004233539220876
other,19,0.0084752840921282
other,32,0.0005748979165218
other,12,0.0006192381260916
other,21,0.0133788688108325
other,25,0.0004841997288167
other,28,0.0005045378929935
female,21,0.0004448605759534
other,19,0.0004401176120154
other,23,0.0005779429920949
male,21,0.0095089673995971
other,21,0.0007273329538293
male,21,0.0058545214124023
male,12,0.0013378277653828
other,22,0.0021801921539008
other,18,0.0005403545219451
other,18,0.0023279883898794
male,20,0.0063433959148824
other,21,0.0014677681028842
male,47,0.0004634587094187
male,26,0.0011921506375074
male,44,0.0005846769781783
female,22,0.0005862985854037
other,19,0.0026508271694183
male,69,0.0004566879651974
male,40,0.0010189012391492
male,44,0.0006072040414437
other,12,0.0006784435827285
other,12,0.0032252133823931
other,63,0.0005361005896702
other,75,0.0007799779414199
other,18,0.0020641654264181
female,19,0.0004072680603712
other,12,0.0012995691504329
male,21,0.0018917109118774
female,39,0.0131384851410985
female,21,0.0009323348058387
male,19,0.0004359633021522
other,18,0.0028811795637011
other,21,0.0007133139297366
other,22,0.0009310378227382
other,19,0.0004975126357749
other,12,0.0007654753280803
other,50,0.0007321080192923
female,39,0.0035045708063989
other,23,0.0004774948465637
other,19,0.0008472620975226
female,18,0.0006075171986594
other,21,0.0007946808473207
other,39,0.0089250225573778
female,19,0.0004593254125211
other,21,0.0045873266644775
other,20,0.0005224496126174
other,18,0.0006278528016991
other,29,0.0150339128449559
female,21,0.0006945261848159
male,22,0.0007249307236634
other,20,0.0004287016054149
other,12,0.0006716810166835
other,20,0.0004814511921722
other,23,0.009607427753508
other,23,0.005241478793323
other,23,0.0008443667902611
male,34,0.0060288002714514
other,18,0.0004947095876559
other,21,0.0032631799113005
other,20,0.0020587709732353
female,22,0.0005612864042632
male,22,0.0125166634097695
other,12,0.0019578197970986
other,27,0.0013739772839471
other,26,0.0003875356342177
other,23,0.0014631684171035
other,17,0.000470074621262
other,19,0.0086646080017089
other,30,0.0009281155653297
other,20,0.0008781569777056
female,25,0.0039244988001883
other,14,0.0122804045677185
other,20,0.0004502372466959
male,40,0.0003913592081516
other,21,0.0011527318274602
female,47,0.0004867056559305
other,23,0.0007757546263746
other,25,0.0162244029343128
other,26,0.0027413067873567
other,19,0.0011558777187019
male,45,0.0023768343962728
other,19,0.0037254127673804
other,19,0.0008652200922369
female,44,0.0092057771980762
other,20,0.0005143279558978
male,21,0.0029013212770223
other,18,0.0004643046413548
male,19,0.0010398166486993
other,19,0.000638987054117
other,22,0.0007187944720499
other,18,0.0074783759191632
other,22,0.0015047874767333
other,22,0.0004969746805727
male,60,0.0005905469297431
other,19,0.0205551590770483
other,37,0.0013861146289855
other,18,0.0004218619142193
other,24,0.0005318915355019
other,21,0.0010939550120383
male,37,0.00859060510993
other,52,0.0024448134936392
